LC_ID,Fx,Fy,Fz,Mx,My,Mz
LC1,-32.027384,-22.733758,1052.049004,100.900669,-93.065711,0
LC2,32.027384,-5.952096,1005.235612,16.15979,93.065711,0
LC3,-9.608215,-56.317487,1033.791506,246.01476,-27.919713,0
LC4,9.608215,61.452186,1025.098377,-278.760072,27.919713,0
LC5,32.027384,-5.952096,1005.235612,16.15979,93.065711,0
LC6,-32.027384,11.086795,1053.65427,-48.905102,-93.065711,0
LC7,9.608215,61.452186,1025.098377,-278.760072,27.919713,0
LC8,-9.608215,-56.317487,1033.791506,246.01476,-27.919713,0
LC9,-32.027384,-22.733758,1052.049004,100.900669,-93.065711,0
LC10,32.027384,-5.952096,1005.235612,16.15979,93.065711,0
LC11,32.027384,-5.952096,1005.235612,16.15979,93.065711,0
LC12,32.027384,-5.952096,1005.235612,16.15979,93.065711,0
